"","q_code","age","sex","occ_status","income","education","fam_w_jeep","w_driver_rel","attitude","opinion","cluster"
"412",469,37,0,1,5,11,1,0,"2","2",2
"413",470,38,0,1,1,11,1,0,"3","4",3
"414",471,48,1,2,4,11,0,0,"1","4",1
"415",472,33,0,2,1,5,1,0,"1","5",1
"416",474,21,0,1,1,10,0,0,"3","1",3
"417",475,28,0,3,-99,5,1,1,"3","3",3
"418",476,43,0,3,-99,11,1,1,"1","1",1
"419",477,26,1,1,3,11,1,0,"1","5",1
"420",478,38,0,1,4,11,1,0,"2","3",2
"421",480,39,1,1,3,11,1,0,"1","3",1
"422",481,63,1,6,1,11,1,0,"1","3",1
"423",482,41,0,3,-99,10,1,0,"2","2",2
"424",483,86,0,6,1,6,1,0,"1","3",1
"425",486,42,0,2,2,10,1,0,"3","3",3
"426",487,50,0,3,-99,11,0,0,"3","4",3
"427",489,73,0,2,2,4,0,0,"1","1",1
"428",490,19,0,4,-99,10,1,0,"1","4",1
"429",491,45,0,3,-99,5,1,0,"2","1",2
"430",492,58,0,2,1,5,1,1,"1","5",1
"431",493,57,1,6,2,10,0,0,"1","1",1
"432",494,33,0,2,2,10,1,0,"2","2",2
"433",495,33,1,2,1,10,1,0,"2","1",2
"434",496,33,0,1,2,10,1,0,"3","1",3
"435",497,41,1,1,2,10,1,0,"1","4",1
"436",499,56,0,3,-99,5,1,0,"1","1",1
"437",500,26,0,1,3,10,1,0,"2","1",2
"438",502,41,1,1,4,11,1,0,"2","2",2
"439",503,74,0,3,-99,4,1,0,"1","4",1
"440",504,32,0,3,-99,11,1,0,"1","5",1
"441",505,22,1,1,2,11,1,0,"3","2",3
"442",506,75,0,3,-99,6,1,0,"1","3",1
"443",507,56,0,2,2,5,1,1,"3","1",3
"444",509,60,0,3,-99,10,1,0,"1","1",1
"445",510,34,0,1,3,11,0,0,"3","4",3
"446",511,70,0,2,1,6,0,0,"3","4",3
"447",512,21,0,1,3,7,1,0,"1","2",1
"448",513,32,0,2,1,6,1,0,"3","3",3
"449",514,36,1,2,2,10,1,0,"3","5",3
"450",515,43,1,3,-99,10,0,0,"2","3",2
"451",516,36,1,1,2,11,1,0,"3","1",3
"452",517,53,1,1,2,6,1,0,"3","3",3
"453",518,53,0,1,3,10,1,0,"1","3",1
"454",519,60,1,1,1,6,1,0,"1","1",1
